Основная категория,Категория,Продукт,Общая оценка,Безопасность,Натуральность,Пищевая ценность,Качество,Ссылка
 Молочные продукты , Молоко ," ""Экомилк"" 3,2% пастеризованное",79,95,75,67,79,https://roscontrol.com/product/moloko-ekomilk/
 Молочные продукты , Молоко ," ""Ашан"" 2,5%, пастеризованное",76,88,70,61,86,https://roscontrol.com/product/ashan-25-pasterizovannoe/
 Молочные продукты , Молоко ," ""Вологодское лето"" 2,5%, пастеризованное",70,83,70,66,62,https://roscontrol.com/product/vologodskoe-leto-25-pasterizovannoe/
 Молочные продукты , Молоко ," "" нашей дойки"" 2,5%, пастеризованное",73,90,70,62,70,https://roscontrol.com/product/moloko-nashey-doyki-25-pasterizovannoe/
 Молочные продукты , Молоко ," Billa 2,5%, пастеризованное",72,89,65,61,73,https://roscontrol.com/product/billa-25-pasterizovannoe/
 Молочные продукты , Молоко ," ""Сарафаново"" 2,5%, пастеризованное",72,89,65,62,73,https://roscontrol.com/product/sarafanovo-25-pasterizovannoe/
 Молочные продукты , Молоко ," ""Простоквашино"" 2,5%, пастеризованное",75,89,70,62,80,https://roscontrol.com/product/prostokvashino-25-pasterizovannoe/
 Молочные продукты , Молоко ," ""Домик в деревне"" 2,5%, пастеризованное",73,86,70,62,75,https://roscontrol.com/product/moloko-pasterizovannoe-domik-v-derevne-2-5/
 Молочные продукты , Молоко ," ""Зеленая линия / Маркет Перекресток"", 3,2% пастеризованное",75,80,80,67,73,https://roscontrol.com/product/zelenaya-liniya-market-perekrestok-32-pasterizovannoe/
 Молочные продукты , Молоко ," ""Искренне Ваш"", 3,2% пастеризованное",70,62,70,66,83,https://roscontrol.com/product/iskrenne-vash-32-pasterizovannoe/
 Молочные продукты , Молоко ," Globus, 3,2% пастеризованное",75,66,75,67,93,https://roscontrol.com/product/globus-32-pasterizovannoe/
 Молочные продукты , Молоко ," ""Вологжанка"", 3,2% пастеризованное",72,86,75,66,59,https://roscontrol.com/product/vologganka-32-pasterizovannoe-1/
 Молочные продукты , Молоко ," ""Село Зеленое"" 3,2% пастеризованное",77,88,70,67,82,https://roscontrol.com/product/moloko-selo-zelenoe-3-2-pasterizovannoe/
 Молочные продукты , Молоко ," ""Красная цена"", 3,2%, ультрапастеризованное",71,83,60,66,76,https://roscontrol.com/product/krasnaya-tsena-32-ultrapasterizovannoe/
 Молочные продукты , Молоко ," ""Простоквашино"" 3,2% ультрапастеризованное",73,88,65,66,73,https://roscontrol.com/product/moloko-prostokvashino-3-2/
 Молочные продукты , Молоко ," ""Село Зеленое"" 3,2% ультрапастеризованное",77,91,65,66,84,https://roscontrol.com/product/selo-zelenoe-32-ultrapasterizovannoe/
 Молочные продукты , Молоко ," ""Простоквашино"" отборное, от 3,4% до 4,5% пастеризованное",82,92,80,63,91,https://roscontrol.com/product/prostokvashino-otbornoe-ot-34-do-45-pasterizovannoe/
 Молочные продукты , Молоко ," ""Останкинское"" 3,2% ультрапастеризованное",68,97,75,66,32,https://roscontrol.com/product/ostankinskoe-32-ultrapasterizovannoe/
 Молочные продукты , Молоко ," ""Сарафаново"" 3,2% ультрапастеризованное",71,97,70,67,49,https://roscontrol.com/product/sarafanovo-32-ultrapasterizovannoe/
 Молочные продукты , Молоко ," ""Валио"" 3,2% ультрапастеризованное",73,97,80,65,49,https://roscontrol.com/product/valio-32-ultrapasterizovannoe/
 Молочные продукты , Молоко ," ""Авида"" 3,2% ультрапастеризованное",63,97,75,66,15,https://roscontrol.com/product/avida-32-ultrapasterizovannoe/
 Молочные продукты , Молоко ," ""Вкуснотеево"" 3,2% пастеризованное",80,97,75,67,82,https://roscontrol.com/product/vkusnotieievo-3-2-pastierizovannoie/
 Молочные продукты , Молоко ," ""Асеньевская ферма"" 3,2% пастеризованное",73,94,75,67,56,https://roscontrol.com/product/asenevskaya-ferma-32-pasterizovannoe/
 Молочные продукты , Молоко ," ""Рузское"" 3,2-4% пастеризованное",65,97,90,74,,https://roscontrol.com/product/ruzskoe-32-4-pasterizovannoe-tselnoe/
 Молочные продукты , Молоко ," ""Домик в деревне"" 3,5% пастеризованное",61,90,80,73,,https://roscontrol.com/product/domik-v-derevne-35-tselnoe-pasterizovannoe/
 Молочные продукты , Молоко ," ""Мамуля"" 3,2% ультрапастеризованное",61,100,70,75,,https://roscontrol.com/product/mamulya-32-ultrapasterizovannoe/
 Молочные продукты , Молоко ," ""Вологжанка"" 1,5% пастеризованное",59,82,80,74,,https://roscontrol.com/product/vologganka-15-pasterizovannoe/
 Молочные продукты , Молоко ," ""Простоквашино"" 3,5% пастеризованное",56,63,85,74,,https://roscontrol.com/product/prostokvashino-35-tselnoe-pasterizovannoe/
 Молочные продукты , Молоко ," ""Дмитровский молочный завод"", 3,2%, ультрапастеризованное",63,48,60,67,77,https://roscontrol.com/product/dmitrovskiy-molochniy-zavod-32-ultrapasterizovannoe/
 Молочные продукты , Молоко ," ""Красная цена"" 3,2% пастеризованное",57,66,80,65,17,https://roscontrol.com/product/krasnaya-tsena-32-pasterizovannoe/
 Молочные продукты , Молоко ," ""Домик в деревне"" 3,2% ультрапастеризованное",67,88,70,65,46,https://roscontrol.com/product/moloko-domik-v-derevne-ultrapasterizovannoe-32/
 Молочные продукты , Молоко ," ""Афанасий"" 3,2% пастеризованное",71,94,75,67,48,https://roscontrol.com/product/afanasiy-33-pasterizovannoe/
 Молочные продукты , Молоко ," ""Дмитровский молочный завод"" 3,2% пастеризованное",56,70,80,75,,https://roscontrol.com/product/dmitrovskiy-molochniy-zavod-32-pasterizovannoe/
 Молочные продукты , Молоко ," ""Авида"" 3,2% пастеризованное",В,,,,,https://roscontrol.com/product/avida-32-pasterizovannoe/
 Молочные продукты , Молоко ," ""Честное коровье молоко"", 3,2%, ультрапастеризованное",В,,,,,https://roscontrol.com/product/chestnoe-korove-moloko-33-ultrapasterizovannoe/
 Молочные продукты , Молоко ," ""36 копеек"", 3,2%, ультрапастеризованное",В,,,,,https://roscontrol.com/product/36-kopeek-32-ultrapasterizovannoe/
 Молочные продукты , Молоко ," ""Маруся"" от 3,4% до 4,5% пастеризованное",В,,,,,https://roscontrol.com/product/marusya-ot-34-do-45-pasterizovannoe/
 Молочные продукты , Молоко ," ""Каждый день"" 3,2% пастеризованное",В,,,,,https://roscontrol.com/product/kagdiy-den-32-pasterizovannoe/
 Молочные продукты , Молоко ," ""Дмитрогорский продукт"" 3,2% пастеризованное",В,,,,,https://roscontrol.com/product/dmitrogorskiy-produkt-32-pasterizovannoe/
 Молочные продукты , Молоко ," ""Торговый дом Сметанин"" 3,2% пастеризованное",В,,,,,https://roscontrol.com/product/torgoviy-dom-smetanin-32-pasterizovannoe/
 Молочные продукты , Молоко ," ""Вологодское"" ультрапастеризованное 3,2%",В,,,,,https://roscontrol.com/product/moloko-vologodskoe-ultrapasterizovannoe-32/
 Молочные продукты , Молоко ," ""То, что надо"" ультрапастеризованное 3,2%",В,,,,,https://roscontrol.com/product/moloko-to-chto-nado-ultrapasterizovannoe-32/
 Молочные продукты , Молоко ," ""Белый Город"" ультрапастеризованное 3,2%",В,,,,,https://roscontrol.com/product/moloko-beliy-gorod-ultrapasterizovannoe-32/
 Молочные продукты , Молоко ," ""Милава"" 3,2% пастеризованное",В,,,,,https://roscontrol.com/product/milava-3-2-pastierizovannoie/
 Молочные продукты , Молоко ," ""Тевье молочник"" 3,4-4,0% пастеризованное",В,,,,,https://roscontrol.com/product/teve-molochnik-34-40-pasterizovannoe-tselnoe/
 Молочные продукты , Молоко ," "" нашей дойки"" 3,5% пастеризованное",В,,,,,https://roscontrol.com/product/moloko-nashey-doyki-35-tselnoe/
 Молочные продукты , Молоко ," ""Свитлогорье"" 3,2% пастеризованное",В,,,,,https://roscontrol.com/product/svitlogore-32-pasterizovannoe/
 Молочные продукты , Молоко ," ""Молти"" 3,2% пастеризованное",В,,,,,https://roscontrol.com/product/molti-32-pasterizovannoe/
 Молочные продукты , Молоко ," ""36 копеек"" 3,2% пастеризованное",В,,,,,https://roscontrol.com/product/moloko-pastierizovannoie-36-kopieiek-3-2/
 Молочные продукты , Молоко ," ""Народное"" 3,2% пастеризованное",В,,,,,https://roscontrol.com/product/narodnoe-32-pasterizovannoe/
 Молочные продукты , Молоко ," ""Молочное царство"" 3,2% пастеризованное",В,,,,,https://roscontrol.com/product/molochnoe-tsarstvo-32-pasterizovannoe/
 Молочные продукты , Кефир ," ""Коровка из Кореновки"" отборный, 3,2-4,8%",83,91,85,72,83,https://roscontrol.com/product/kefir-korovka-iz-korenovki-otborniy-32-48/
 Молочные продукты , Кефир ,"""Чабан"" 2,5%",82,97,75,68,86,https://roscontrol.com/product/chaban-25/
 Молочные продукты , Кефир ,"""Простоквашино"" 2,5%",80,97,75,69,77,https://roscontrol.com/product/prostokvashino-25/
 Молочные продукты , Кефир ," Globus, 3,2%",75,88,80,69,61,https://roscontrol.com/product/kefir-globus-32/
 Молочные продукты , Кефир ," ""Асеньевская ферма"", 3,2%",79,88,80,70,77,https://roscontrol.com/product/kefir-asenevskaya-ferma-32/
 Молочные продукты , Кефир ," ""Вологодское лето"", 3,2%",74,88,75,71,61,https://roscontrol.com/product/kefir-vologodskoe-leto-32/
 Молочные продукты , Кефир ," "" Наша семья/Лакомо"", 3,2%",81,94,80,73,78,https://roscontrol.com/product/kefir-nasha-semya-lakomo/
 Молочные продукты , Кефир ," ""Простоквашино"", 3,2%",81,88,75,71,89,https://roscontrol.com/product/kefir-prostokvashino/
 Молочные продукты , Кефир , BioMax 1%,81,95,75,82,72,https://roscontrol.com/product/kefir-biomax-1/
 Молочные продукты , Кефир ,"Биокефир ""Вкуснотеево"" 1%",75,95,80,74,51,https://roscontrol.com/product/produkt-kislomolochniy-vkusnoteevo-1/
 Молочные продукты , Кефир ," ""Простоквашино"" 1%",77,95,80,66,67,https://roscontrol.com/product/kefir-prostokvashino-1/
 Молочные продукты , Кефир ," ""Домик в деревне"" 1%",79,95,75,74,72,https://roscontrol.com/product/kefir-domik-v-derevne-1/
 Молочные продукты , Кефир ,"""Сарафаново"" 2,5",75,94,75,67,64,https://roscontrol.com/product/sarafanovo-25/
 Молочные продукты , Кефир ,"""Большая кружка"" 2,5%",72,97,75,69,45,https://roscontrol.com/product/bolshaya-krugka-25/
 Молочные продукты , Кефир ,"""Свежее завтра"" 2,5%",71,96,75,70,42,https://roscontrol.com/product/svegee-zavtra-25/
 Молочные продукты , Кефир ,"""Рузский"" 2,5%",75,97,80,69,52,https://roscontrol.com/product/ruzskiy-25/
 Молочные продукты , Кефир ," ""Рузский"" 3,2-4%",53,91,0,70,52,https://roscontrol.com/product/kefir-ruzskiy-32-4/
 Молочные продукты , Кефир ," ""Милава""",74,99,85,71,42,https://roscontrol.com/product/kefir-milava/
 Молочные продукты , Кефир ," ""Дмитровский молочный завод""",76,96,85,72,51,https://roscontrol.com/product/kefir-dmitrovskiy-molochniy-zavod/
 Молочные продукты , Кефир ,"ный продукт ""Активиа"" 1%",79,95,75,86,61,https://roscontrol.com/product/kefirniy-produkt-aktivia-1/
 Молочные продукты , Кефир ," ""Вкуснотеево"", 3,2%",В,,,,,https://roscontrol.com/product/kefir-vkusnoteevo-32/
 Молочные продукты , Кефир ," ""Домик в деревне"", 3,2%",В,,,,,https://roscontrol.com/product/kefir-domik-v-derevne-32/
 Молочные продукты , Кефир ," ""Авида"", 3,2%",В,,,,,https://roscontrol.com/product/kefir-avida/
 Молочные продукты , Кефир ," ""Можайская бурёнка"", 3,2%",В,,,,,https://roscontrol.com/product/kefir-mogayskaya-burnka-32/
 Молочные продукты , Кефир ," ""Киржачский молочный завод"", 3,2%",В,,,,,https://roscontrol.com/product/kefir-kirgachskiy-molochniy-zavod-32/
 Молочные продукты , Кефир ," ""Каждый день"", 3,2%",В,,,,,https://roscontrol.com/product/kefir-kagdiy-den-32/
 Молочные продукты , Кефир ," ""Свитлогорье""",В,,,,,https://roscontrol.com/product/kefir-svitlogore/
 Молочные продукты , Кефир ," ""Домик в деревне""",В,,,,,https://roscontrol.com/product/kefir-domik-v-derevne/
 Молочные продукты , Кефир ," ""Демик"", с соком малины 1%",В,,,,,https://roscontrol.com/product/demik-s-saharnim-siropom-i-malinovim-sokom/
 Молочные продукты , Кефир ," ""36 копеек"", 3,2%",В,,,,,https://roscontrol.com/product/kefir-36-kopeek-32/
 Молочные продукты , Кефир ," ""Коровка из Кореновки"" отборный, 3,2-4,8%",83,91,85,72,83,https://roscontrol.com/product/kefir-korovka-iz-korenovki-otborniy-32-48/
 Молочные продукты , Кефир ,"""Чабан"" 2,5%",82,97,75,68,86,https://roscontrol.com/product/chaban-25/
 Молочные продукты , Кефир ,"""Простоквашино"" 2,5%",80,97,75,69,77,https://roscontrol.com/product/prostokvashino-25/
 Молочные продукты , Кефир ," Globus, 3,2%",75,88,80,69,61,https://roscontrol.com/product/kefir-globus-32/
 Молочные продукты , Кефир ," ""Асеньевская ферма"", 3,2%",79,88,80,70,77,https://roscontrol.com/product/kefir-asenevskaya-ferma-32/
 Молочные продукты , Кефир ," ""Вологодское лето"", 3,2%",74,88,75,71,61,https://roscontrol.com/product/kefir-vologodskoe-leto-32/
 Молочные продукты , Кефир ," "" Наша семья/Лакомо"", 3,2%",81,94,80,73,78,https://roscontrol.com/product/kefir-nasha-semya-lakomo/
 Молочные продукты , Кефир ," ""Простоквашино"", 3,2%",81,88,75,71,89,https://roscontrol.com/product/kefir-prostokvashino/
 Молочные продукты , Кефир , BioMax 1%,81,95,75,82,72,https://roscontrol.com/product/kefir-biomax-1/
 Молочные продукты , Кефир ,"Биокефир ""Вкуснотеево"" 1%",75,95,80,74,51,https://roscontrol.com/product/produkt-kislomolochniy-vkusnoteevo-1/
 Молочные продукты , Кефир ," ""Простоквашино"" 1%",77,95,80,66,67,https://roscontrol.com/product/kefir-prostokvashino-1/
