Основная категория,Категория,Продукт,Общая оценка,Безопасность,Натуральность,Пищевая ценность,Качество,Ссылка
 Молочные продукты , Кефир ,"Кефир ""Коровка из Кореновки"" отборный, 3,2-4,8%",83,91,85,72,83,https://roscontrol.com/product/kefir-korovka-iz-korenovki-otborniy-32-48/
 Молочные продукты , Кефир ,"""Чабан"" 2,5%",82,97,75,68,86,https://roscontrol.com/product/chaban-25/
 Молочные продукты , Кефир ,"""Простоквашино"" 2,5%",80,97,75,69,77,https://roscontrol.com/product/prostokvashino-25/
 Молочные продукты , Кефир ,"Кефир Globus, 3,2%",75,88,80,69,61,https://roscontrol.com/product/kefir-globus-32/
 Молочные продукты , Кефир ,"Кефир ""Асеньевская ферма"", 3,2%",79,88,80,70,77,https://roscontrol.com/product/kefir-asenevskaya-ferma-32/
 Молочные продукты , Кефир ,"Кефир ""Вологодское лето"", 3,2%",74,88,75,71,61,https://roscontrol.com/product/kefir-vologodskoe-leto-32/
 Молочные продукты , Кефир ,"Кефир "" Наша семья/Лакомо"", 3,2%",81,94,80,73,78,https://roscontrol.com/product/kefir-nasha-semya-lakomo/
 Молочные продукты , Кефир ,"Кефир ""Простоквашино"", 3,2%",81,88,75,71,89,https://roscontrol.com/product/kefir-prostokvashino/
 Молочные продукты , Кефир ,Кефир BioMax 1%,81,95,75,82,72,https://roscontrol.com/product/kefir-biomax-1/
 Молочные продукты , Кефир ,"Биокефир ""Вкуснотеево"" 1%",75,95,80,74,51,https://roscontrol.com/product/produkt-kislomolochniy-vkusnoteevo-1/
 Молочные продукты , Кефир ,"Кефир ""Простоквашино"" 1%",77,95,80,66,67,https://roscontrol.com/product/kefir-prostokvashino-1/
 Молочные продукты , Кефир ,"Кефир ""Домик в деревне"" 1%",79,95,75,74,72,https://roscontrol.com/product/kefir-domik-v-derevne-1/
 Молочные продукты , Кефир ,"""Сарафаново"" 2,5",75,94,75,67,64,https://roscontrol.com/product/sarafanovo-25/
 Молочные продукты , Кефир ,"""Большая кружка"" 2,5%",72,97,75,69,45,https://roscontrol.com/product/bolshaya-krugka-25/
 Молочные продукты , Кефир ,"""Свежее завтра"" 2,5%",71,96,75,70,42,https://roscontrol.com/product/svegee-zavtra-25/
 Молочные продукты , Кефир ,"""Рузский"" 2,5%",75,97,80,69,52,https://roscontrol.com/product/ruzskiy-25/
 Молочные продукты , Кефир ,"Кефир ""Рузский"" 3,2-4%",53,91,0,70,52,https://roscontrol.com/product/kefir-ruzskiy-32-4/
 Молочные продукты , Кефир ,"Кефир ""Милава""",74,99,85,71,42,https://roscontrol.com/product/kefir-milava/
 Молочные продукты , Кефир ,"Кефир ""Дмитровский молочный завод""",76,96,85,72,51,https://roscontrol.com/product/kefir-dmitrovskiy-molochniy-zavod/
 Молочные продукты , Кефир ,"Кефирный продукт ""Активиа"" 1%",79,95,75,86,61,https://roscontrol.com/product/kefirniy-produkt-aktivia-1/
 Молочные продукты , Кефир ,"Кефир ""Вкуснотеево"", 3,2%",,,,,,https://roscontrol.com/product/kefir-vkusnoteevo-32/
 Молочные продукты , Кефир ,"Кефир ""Домик в деревне"", 3,2%",,,,,,https://roscontrol.com/product/kefir-domik-v-derevne-32/
 Молочные продукты , Кефир ,"Кефир ""Авида"", 3,2%",,,,,,https://roscontrol.com/product/kefir-avida/
 Молочные продукты , Кефир ,"Кефир ""Можайская бурёнка"", 3,2%",,,,,,https://roscontrol.com/product/kefir-mogayskaya-burnka-32/
 Молочные продукты , Кефир ,"Кефир ""Киржачский молочный завод"", 3,2%",,,,,,https://roscontrol.com/product/kefir-kirgachskiy-molochniy-zavod-32/
 Молочные продукты , Кефир ,"Кефир ""Каждый день"", 3,2%",,,,,,https://roscontrol.com/product/kefir-kagdiy-den-32/
 Молочные продукты , Кефир ,"Кефир ""Свитлогорье""",,,,,,https://roscontrol.com/product/kefir-svitlogore/
 Молочные продукты , Кефир ,"Кефир ""Домик в деревне""",,,,,,https://roscontrol.com/product/kefir-domik-v-derevne/
 Молочные продукты , Кефир ,"Кефир ""Демик"", с соком малины 1%",,,,,,https://roscontrol.com/product/demik-s-saharnim-siropom-i-malinovim-sokom/
